,importance
game.home.name_Tigers,0.014970259
game.week.day_Tuesday,0.0145630995
game.home.name_Red Sox,0.013703698
game.away.name_Diamondbacks,0.013480155
game.away.name_Astros,0.012259303
game.away.name_Indians,0.011964756
game.away.name_Orioles,0.011711571
game.away.name_Dodgers,0.011551092
game.home.name_Orioles,0.011321888
game.home.name_Braves,0.011152965
game.away.name_Reds,0.011130309
game.home.name_Cubs,0.010999569
game.home.name_Pirates,0.0109064095
game.away.name_Rockies,0.010811939
game.week.day_Friday,0.010793244
game.home.name_Yankees,0.010663949
game.away.pitching.winpercentage,0.010393512
game.away.name_Nationals,0.010280503
game.away.name_Mariners,0.010152073
game.home.name_Padres,0.010143908
game.home.name_White Sox,0.010115405
game.home.name_Dodgers,0.010022987
game.away.name_Tigers,0.01001099
ops_7_home,0.009882144
game.away.name_Red Sox,0.009832052
game.away.name_Padres,0.009808092
game.away.name_Marlins,0.009705633
k9_30_home,0.009655829
ops_30_away,0.0095946845
whip_1_home,0.009567788
fpct_30_home,0.0095516285
game.home.name_Brewers,0.009456555
game.away.starting_pitcher.win,0.009389957
whip_30_home,0.009336863
game.away.name_Cubs,0.009302861
game.week.day_Sunday,0.009300859
avg_1_home,0.009143512
ops_1_home,0.009119826
game.away.name_Phillies,0.009081561
game.away.name_Athletics,0.008992866
slg_1_home,0.008983094
slg_7_away,0.00896631
game.home.name_Astros,0.008930264
game.away.name_Brewers,0.008915798
era_30_home,0.008913389
era_7_home,0.0088820495
game.away.starting_pitcher.era,0.008868535
rbi_1_away,0.008864483
whip_7_away,0.008850976
k9_30_away,0.008840152
game.away.name_Blue Jays,0.008806829
game.away.name_Giants,0.008772914
rbi_30_home,0.0087521365
game.home.starting_pitcher.win,0.008729915
game.week.day_Monday,0.008726854
rbi_7_home,0.008656541
away.team.league_National,0.008650842
fpct_7_home,0.008583218
slg_30_away,0.008528365
era_1_away,0.00847017
error_30_home,0.008444481
game.home.starting_pitcher.era,0.008421872
pitch_count_30_away,0.0084182415
game.home.pitching.winpercentage,0.008223685
fpct_30_away,0.008199827
pitch_count_7_away,0.008119787
whip_7_home,0.008112695
error_7_away,0.008087039
ops_7_away,0.008047972
fpct_7_away,0.007999115
game.home.name_Athletics,0.007982144
whip_1_away,0.007976254
k9_1_away,0.007973847
game.home.starting_pitcher.loss,0.007903916
rbi_30_away,0.007902213
pitch_count_30_home,0.007848868
slg_7_home,0.007824609
slg_30_home,0.007803775
avg_1_away,0.007774393
era_1_home,0.0077705933
away.team.league_American,0.007731102
rbi_7_away,0.0077155787
era_30_away,0.007711605
rbi_1_home,0.007708304
error_30_away,0.007649635
whip_30_away,0.0076478985
ops_1_away,0.0076319813
game.week.day_Wednesday,0.0076290197
runs_30_away,0.007624047
slg_1_away,0.0076096356
pitch_count_1_away,0.00757388
ops_30_home,0.0075133923
era_7_away,0.007507174
fpct_1_away,0.0074934163
k9_7_away,0.00744692
k9_1_home,0.0074377717
game.away.name_Royals,0.007400679
runs_7_away,0.0073910295
k9_7_home,0.007376521
fpct_1_home,0.0072770026
error_1_away,0.0071488167
game.away.starting_pitcher.loss,0.0071018077
home.team.league_American,0.0069935443
game.home.name_Reds,0.006886914
runs_1_home,0.0068835444
runs_1_away,0.0067381924
pitch_count_7_home,0.006721069
error_1_home,0.0066976105
pitch_count_1_home,0.0064076744
runs_30_home,0.0056556338
error_7_home,0.0055306577
game.week.day_Thursday,0.0053325295
runs_7_home,0.0047937874
game.week.day_Saturday,0.003302437
home.team.league_National,0.0023747112
game.away.name_Rays,0.0
game.away.name_Twins,0.0
game.away.name_White Sox,0.0
game.away.name_Yankees,0.0
game.home.name_Phillies,0.0
game.away.name_Mets,0.0
game.away.name_Rangers,0.0
game.away.name_Pirates,0.0
game.home.name_Rangers,0.0
game.home.name_Rays,0.0
game.home.name_Mets,0.0
game.home.name_Rockies,0.0
game.home.name_Royals,0.0
game.home.name_Marlins,0.0
game.home.name_Twins,0.0
game.home.name_Mariners,0.0
game.home.name_Indians,0.0
game.away.name_Angels,0.0
game.home.name_Giants,0.0
game.home.name_Diamondbacks,0.0
game.home.name_Cardinals,0.0
game.away.name_Braves,0.0
game.home.name_Blue Jays,0.0
game.away.name_Cardinals,0.0
game.home.name_Nationals,0.0
game.home.name_Angels,0.0
